NAME                               CPU(cores)   MEMORY(bytes)   
accounting-796d8ffd88-rkkf9        9m           194Mi           
ad-d5f5f9f4b-g9ggf                 2m           219Mi           
aiops-engine-7cb74684f8-svqjf      3m           206Mi           
cart-59db4d5498-gmkpv              3m           60Mi            
cart-59db4d5498-m6h98              5m           64Mi            
checkout-rollout-6c986b459-49l5x   2m           13Mi            
checkout-rollout-6c986b459-qrz2q   4m           13Mi            
cloudflared-747fd76fc9-7l62d       3m           31Mi            
cloudflared-747fd76fc9-w598s       3m           19Mi            
currency-6bddf4894f-m8rx5          2m           3Mi             
currency-6bddf4894f-svvsk          1m           2Mi             
email-5cdc6dbf86-kgvvs             2m           56Mi            
flagd-68cb954df4-2cjds             3m           182Mi           
fraud-detection-7555fcd4d8-nnhg7   6m           246Mi           
frontend-f8b686869-82l6p           20m          76Mi            
frontend-f8b686869-d5zwp           23m          75Mi            
frontend-proxy-584cdc85b7-mg9r2    3m           16Mi            
frontend-proxy-584cdc85b7-rmmfv    6m           17Mi            
grafana-668bb9ccc5-t4kbl           10m          385Mi           
image-provider-6ccdd9c958-h8n86    1m           9Mi             
jaeger-8457c9564b-m2hv9            80m          517Mi           
llm-7665dcc9b5-mqmbx               16m          67Mi            
load-generator-67fd8f8d56-s4xf9    18m          124Mi           
opensearch-0                       12m          961Mi           
otel-gateway-69fb9b8977-9knbh      24m          142Mi           
otel-gateway-69fb9b8977-bgjz5      10m          82Mi            
payment-55ddb6c79d-5hlkz           7m           139Mi           
payment-55ddb6c79d-ftp68           7m           146Mi           
product-catalog-7b6d457c77-klnd7   3m           11Mi            
product-catalog-7b6d457c77-nv8w7   2m           12Mi            
product-reviews-7697d67bf8-mxzw5   17m          91Mi            
product-reviews-7697d67bf8-ql5cx   13m          89Mi            
prometheus-5b74d99d6-j9k6r         17m          394Mi           
quote-79b77dd947-46sgv             1m           16Mi            
quote-79b77dd947-zkfmx             1m           16Mi            
recommendation-9c46655c8-krbrr     9m           44Mi            
shipping-6d787fdff6-4q9mw          1m           3Mi             
shipping-6d787fdff6-g56ss          1m           3Mi             
